state,total_spending_bil,population,winner,spending_per_capita
ALABAMA,3,5108468,Trump,587.2602118678242
ALASKA,3.7,733406,Trump,5044.95463631331
AMERICAN SAMOA,0.0686,45000,NA,1524.4444444444443
ARIZONA,3.5,7431344,Biden,470.97806264923275
ARKANSAS,2.8,3067732,Trump,912.7264050445084
CALIFORNIA,18.4,38965193,Biden,472.2163188053502
COLORADO,3.2,5877610,Biden,544.4389811505016
CONNECTICUT,2.5,3617176,Biden,691.1469057629488
DELAWARE,0.792,1031890,Biden,767.5236701586409
DISTRICT OF COLUMBIA,1.1,678972,Biden,1620.0962631743282
FLORIDA,8.2,22610726,Trump,362.65973945285964
GEORGIA,5,11029227,Biden,453.3409277005542
GUAM,0.1426,169000,NA,843.7869822485208
HAWAII,1,1435138,Biden,696.7971024389292
IDAHO,1.2,1964726,Trump,610.7721890991415
ILLINOIS,8.4,12549689,Biden,669.3392959777728
INDIANA,3.4,6862199,Trump,495.46799794060183
IOWA,2.4,3207004,Trump,748.362022622984
KANSAS,1.5,2940546,Trump,510.1093470396314
KENTUCKY,3.9,4526154,Trump,861.6587062658496
LOUISIANA,4.3,4573749,Trump,940.1477868593139
MAINE,1.1,1395722,Biden,788.1225630892112
MARYLAND,2.7,6180253,Biden,436.87531885830566
MASSACHUSETTS,3.6,7001399,Biden,514.1829511501916
MICHIGAN,5.2,10037261,Biden,518.0696207859893
MINNESOTA,2.7,5737915,Biden,470.55419956552163
MISSISSIPPI,2.3,2939690,Trump,782.3954226466055
MISSOURI,3.8,6196156,Trump,613.2834615526142
MONTANA,3.3,1132812,Trump,2913.1047340600207
NEBRASKA,1.3,1978379,Trump,657.103618669628
NEVADA,1.7,3194176,Biden,532.2186379210162
NEW HAMPSHIRE,0.7518,1402054,Biden,536.2132984892165
NEW JERSEY,5.1,9290841,Biden,548.927702023961
NEW MEXICO,2.6,2114371,Biden,1229.6801270921708
NEW YORK,10.1,19571216,Biden,516.0639992936566
NORTH CAROLINA,4.5,10835491,Trump,415.3019000246505
NORTH DAKOTA,1.8,783926,Trump,2296.135094383909
NORTHERN MARIANA ISLANDS,0.0833,51000,NA,1633.3333333333333
OHIO,6.6,11785935,Trump,559.9895129236671
OKLAHOMA,2.9,4053824,Trump,715.3739284191913
OREGON,2.3,4233358,Biden,543.3039209062877
PENNSYLVANIA,8.1,12961683,Biden,624.9188473441296
PUERTO RICO,0.9937,3205691,NA,309.97996999710824
RHODE ISLAND,1.1,1095962,Biden,1003.6844343143284
SOUTH CAROLINA,2.3,5373555,Trump,428.0220449962827
SOUTH DAKOTA,1.3,919318,Trump,1414.091750623832
TENNESSEE,3.7,7126489,Trump,519.1897440661172
TEXAS,14.2,30503301,Trump,465.5233871245607
US VIRGIN ISLANDS,0.1483,105000,NA,1412.3809523809523
UTAH,1.8,3417734,Trump,526.6647433650483
VERMONT,0.8521,647464,Biden,1316.0577267616422
VIRGINIA,4.5,8715698,Biden,516.309766584386
WASHINGTON,4,7812880,Biden,511.9750975312561
WEST VIRGINIA,2,1770071,Trump,1129.898179225579
WISCONSIN,2.8,5910955,Biden,473.6967207498619
WYOMING,2.3,584057,Trump,3937.9718075461815
